pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
37,"JOYCE D. (PG)
Basketball Löwen Braunschweig",33,1061:22:00,406,75,179,41.90%,58,149,38.90%,133,328,40.60%,82,103,79.60%,98,9,107,199,30,96,0,99,430,-5,1
15,"MCLEAN J. (PF)
ALBA BERLIN",29,671:32:00,404,126,206,61.20%,2,6,33.30%,128,212,60.40%,146,186,78.50%,111,76,187,54,20,49,10,78,502,155,2
40,"BROWN T. (SG)
Phoenix Hagen",33,871:48:00,396,84,162,51.90%,62,181,34.30%,146,343,42.60%,42,57,73.70%,86,25,111,28,31,30,6,71,330,-228,2
48,"SAVANOVIC D. (PF)
FC Bayern München",34,755:29:00,395,110,197,55.80%,37,116,31.90%,147,313,47.00%,64,75,85.30%,104,51,155,70,28,37,11,65,445,343,0
43,"SEARCY D. (PF)
Eisbären Bremerhaven",33,899:11:00,392,160,294,54.40%,0,1,0.00%,160,295,54.20%,72,108,66.70%,174,97,271,27,23,49,12,77,505,-211,5
38,"HESSON M. (SF)
Eisbären Bremerhaven",32,735:45:00,390,95,211,45.00%,26,62,41.90%,121,273,44.30%,122,156,78.20%,91,46,137,60,31,76,26,101,382,-26,2
21,"GüNTHER P. (PG)
ratiopharm ulm",29,776:05:00,388,63,145,43.40%,52,117,44.40%,115,262,43.90%,106,126,84.10%,41,5,46,143,11,62,0,54,359,57,0
51,"PAULDING R. (SF)
EWE Baskets Oldenburg",34,916:03:00,381,77,139,55.40%,65,159,40.90%,142,298,47.70%,32,42,76.20%,78,38,116,92,20,55,13,87,401,45,0
44,"GRAVES A. (SG)
Artland Dragons",32,857:49:00,376,95,176,54.00%,41,107,38.30%,136,283,48.10%,63,76,82.90%,40,10,50,93,26,52,1,89,334,-62,0
34,"LOCKETT T. (SG)
Basketball Löwen Braunschweig",30,922:54:00,374,111,217,51.20%,26,66,39.40%,137,283,48.40%,74,95,77.90%,109,41,150,72,38,66,10,83,411,12,2
6,"MCCREA J. (C)
medi bayreuth",25,607:59:00,368,139,232,59.90%,0,1,0.00%,139,233,59.70%,90,126,71.40%,78,59,137,25,28,53,15,65,390,15,1
57,"HUFF S. (SF)
MHP RIESEN Ludwigsburg",34,782:21:00,368,37,92,40.20%,78,176,44.30%,115,268,42.90%,60,75,80.00%,88,46,134,22,21,23,9,92,363,69,1
53,"VEIKALAS B. (SG)
Telekom Baskets Bonn",33,791:14:00,364,76,120,63.30%,54,134,40.30%,130,254,51.20%,50,60,83.30%,64,17,81,42,18,44,5,73,332,119,0
54,"ROBERTSON Q. (SG)
FRAPORT SKYLINERS",33,1110:05:00,364,80,165,48.50%,41,121,33.90%,121,286,42.30%,81,99,81.80%,120,25,145,104,45,67,5,112,413,91,0
4,"DJEDOVIC N. (SF)
FC Bayern München",24,624:51:00,360,88,148,59.50%,26,86,30.20%,114,234,48.70%,106,142,74.70%,71,13,84,63,30,46,8,47,343,199,1
65,"BROOKS R. (SG)
Telekom Baskets Bonn",34,828:59:00,356,68,158,43.00%,44,107,41.10%,112,265,42.30%,88,113,77.90%,105,10,115,67,26,44,6,69,348,55,0
58,"REDDING R. (SF)
ALBA BERLIN",33,880:56:00,355,108,219,49.30%,25,93,26.90%,133,312,42.60%,64,91,70.30%,105,25,130,147,43,72,10,67,407,271,1
39,"BROCKMAN J. (C)
MHP RIESEN Ludwigsburg",29,800:59:00,353,141,252,56.00%,0,1,0.00%,141,253,55.70%,71,101,70.30%,163,116,279,40,25,56,7,97,506,84,12
60,"VISSER K. (C)
Basketball Löwen Braunschweig",33,667:18:00,353,148,257,57.60%,0,1,0.00%,148,258,57.40%,57,79,72.20%,96,68,164,26,8,39,20,103,400,-20,2
61,"BUCKNOR J. (SF)
TBB Trier",33,851:09:00,352,65,111,58.60%,56,122,45.90%,121,233,51.90%,54,68,79.40%,136,17,153,74,31,56,9,101,437,-153,0
50,"KLOBUCAR J. (SG)
ratiopharm ulm",31,713:23:00,350,66,152,43.40%,33,104,31.70%,99,256,38.70%,119,157,75.80%,76,7,83,100,34,79,3,62,296,-6,1
56,"RENFROE A. (PG)
ALBA BERLIN",32,821:34:00,349,64,110,58.20%,46,110,41.80%,110,220,50.00%,83,105,79.10%,110,39,149,139,29,73,5,79,466,203,0
68,"ALEKSANDROV N. (PF)
EWE Baskets Oldenburg",34,824:34:00,348,70,159,44.00%,49,112,43.80%,119,271,43.90%,61,66,92.40%,106,39,145,31,8,45,10,84,340,41,1
