pl,player,games,minutes,points,m2,a2,per2,m3,a3,per3,mfg,afg,perfg,mft,aft,perft,dr,or,tr,as,st,to,bs,pf,ef,plusminus,dbl
193,"MAFRA R. (C)
BG Göttingen",18,166:34:00,49,19,54,35.20%,0,1,0.00%,19,55,34.60%,11,17,64.70%,22,12,34,5,2,12,6,23,42,-86,0
195,"SPöLER T. (SF)
BBC Bayreuth",17,178:10:00,44,7,15,46.70%,5,27,18.50%,12,42,28.60%,15,20,75.00%,24,10,34,12,2,15,1,37,43,-74,0
208,"CLAY O. (PF)
s.Oliver Baskets",21,140:56:00,44,12,29,41.40%,0,0,0.00%,12,29,41.40%,20,30,66.70%,15,10,25,2,5,15,7,25,41,-35,0
207,"WOHLFARTH-BOTTERMANN J. (C)
Telekom Baskets Bonn",20,117:07:00,43,16,37,43.20%,0,0,0.00%,16,37,43.20%,11,17,64.70%,17,13,30,2,1,8,12,21,53,-29,0
215,"HALDIN M. (PG)
LTi GIESSEN 46ers",23,202:21:00,38,7,24,29.20%,5,20,25.00%,12,44,27.30%,9,12,75.00%,22,3,25,10,2,20,0,17,20,-103,0
221,"THüLIG F. (SF)
Telekom Baskets Bonn",29,246:45:00,37,5,14,35.70%,8,24,33.30%,13,38,34.20%,3,5,60.00%,8,7,15,9,3,2,1,39,36,-52,0
204,"BARTHEL D. (PF)
FRAPORT SKYLINERS",15,128:14:00,36,13,23,56.50%,1,3,33.30%,14,26,53.90%,7,13,53.90%,9,5,14,3,1,7,2,21,31,-20,0
213,"CANTY A. (PG)
Eisbären Bremerhaven",20,148:05:00,36,2,14,14.30%,8,23,34.80%,10,37,27.00%,8,8,100.00%,13,4,17,6,3,9,0,19,26,-28,0
94,"HAMILTON K. (PG)
BBC Bayreuth",4,115:18:00,35,11,21,52.40%,4,10,40.00%,15,31,48.40%,1,1,100.00%,11,2,13,16,5,9,0,13,44,-38,0
162,"BROWN G. (SF)
s.Oliver Baskets",8,92:45:00,34,9,17,52.90%,2,9,22.20%,11,26,42.30%,10,16,62.50%,5,9,14,5,2,7,2,11,29,32,0
161,"SAUNDERS D. (SF)
BG Göttingen",7,164:14:00,30,6,27,22.20%,5,18,27.80%,11,45,24.40%,3,6,50.00%,25,15,40,7,6,5,2,10,43,-63,0
216,"FREESE J. (C)
EWE Baskets Oldenburg",17,113:47:00,28,10,16,62.50%,0,0,0.00%,10,16,62.50%,8,20,40.00%,15,6,21,4,2,3,1,21,35,21,0
175,"NOLEN A. (PG)
LTi GIESSEN 46ers",8,108:41:00,27,5,15,33.30%,3,14,21.40%,8,29,27.60%,8,15,53.30%,10,6,16,12,8,12,0,16,23,-47,0
180,"DJURASOVIC B. (SF)
LTi GIESSEN 46ers",8,117:23:00,26,4,17,23.50%,5,14,35.70%,9,31,29.00%,3,5,60.00%,12,2,14,1,4,13,1,17,9,-41,0
217,"SCHMIDT D. (PG)
Brose Baskets",16,94:34:00,26,6,10,60.00%,4,8,50.00%,10,18,55.60%,2,6,33.30%,9,1,10,5,1,8,1,17,23,66,0
168,"MCCULLOUGH T. (SF)
LTi GIESSEN 46ers",6,75:26:00,24,6,22,27.30%,1,4,25.00%,7,26,26.90%,9,14,64.30%,7,6,13,6,6,15,2,14,12,-7,0
206,"HALL D. (C)
FC Bayern München",11,82:45:00,24,10,19,52.60%,0,0,0.00%,10,19,52.60%,4,6,66.70%,4,9,13,4,3,4,0,23,29,0,0
157,"SPARKS P. (PG)
Phoenix Hagen",5,133:49:00,23,2,8,25.00%,5,19,26.30%,7,27,25.90%,4,6,66.70%,4,2,6,25,6,15,0,11,23,-61,0
219,"DORETH B. (SG)
FC Bayern München",15,100:35:00,23,4,8,50.00%,4,13,30.80%,8,21,38.10%,3,4,75.00%,7,2,9,8,2,2,0,13,26,-25,0
231,"PERL M. (PG)
LTi GIESSEN 46ers",29,209:38:00,23,6,16,37.50%,2,9,22.20%,8,25,32.00%,5,10,50.00%,8,6,14,9,9,10,1,49,24,-64,0
173,"ADAMCZAK N. (SG)
BG Göttingen",6,53:34:00,22,1,3,33.30%,6,16,37.50%,7,19,36.80%,2,2,100.00%,6,2,8,0,1,6,0,8,13,-28,0
211,"KALAMPOKIS I. (SF)
ALBA BERLIN",11,147:19:00,22,4,11,36.40%,2,13,15.40%,6,24,25.00%,8,10,80.00%,16,1,17,22,1,13,0,23,29,23,0
228,"PICARD S. (SG)
TBB Trier",22,102:52:00,22,5,12,41.70%,4,15,26.70%,9,27,33.30%,0,2,0.00%,8,2,10,2,1,1,0,13,14,-45,0
222,"WENZL M. (C)
ratiopharm ulm",18,72:08:00,21,6,11,54.50%,0,0,0.00%,6,11,54.60%,9,17,52.90%,11,5,16,2,2,5,0,17,23,-35,0
191,"RADINOVIC V. (C)
WALTER Tigers Tübingen",6,73:00:00,18,8,14,57.10%,0,0,0.00%,8,14,57.10%,2,3,66.70%,7,2,9,0,1,4,1,17,18,-23,0
214,"VARGAS A. (PG)
WALTER Tigers Tübingen",10,77:56:00,18,4,8,50.00%,3,5,60.00%,7,13,53.90%,1,2,50.00%,9,2,11,4,1,1,0,7,26,-27,0
182,"TORBERT K. (SG)
ratiopharm ulm",5,40:55:00,16,2,8,25.00%,3,5,60.00%,5,13,38.50%,3,4,75.00%,3,3,6,2,0,0,0,3,15,1,0
194,"JERETIN G. (PG)
Artland Dragons",6,95:27:00,16,0,3,0.00%,4,15,26.70%,4,18,22.20%,4,6,66.70%,7,1,8,7,1,6,0,12,10,5,0
209,"STROWBRIDGE C. (PG)
EWE Baskets Oldenburg",8,44:37:00,16,3,10,30.00%,2,10,20.00%,5,20,25.00%,4,4,100.00%,2,0,2,1,1,8,0,8,-3,-5,0
170,"BOUMTJE BOUMTJE R. (C)
FC Bayern München",4,44:58:00,15,5,9,55.60%,0,0,0.00%,5,9,55.60%,5,7,71.40%,8,4,12,4,0,2,0,7,23,31,0
198,"GRIMALDI M. (SG)
BG Göttingen",6,86:47:00,15,1,6,16.70%,2,11,18.20%,3,17,17.70%,7,8,87.50%,14,2,16,4,2,5,0,12,17,-47,0
199,"HARRIS T. (SF)
EnBW Ludwigsburg",6,78:21:00,15,6,13,46.20%,1,8,12.50%,7,21,33.30%,0,3,0.00%,8,5,13,6,3,7,0,13,13,-3,0
